yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
187204,5.18,0.2733,0.41,,,,,,,,,0.006000524127864685,0.05276061776061776,0.054226190476190476,0.07915057915057915,0.6665853658536586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187205,5.18,0.2767,0.4125,,,,,,,,,0.00603004134718596,0.05341698841698842,0.05341698841698842,0.07963320463320463,0.6707878787878788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187206,5.13,0.28,0.415,,,,,,,,,0.004952662841959472,0.05458089668615985,0.054054054054054064,0.08089668615984405,0.674698795180723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187207,5.1,0.2833,0.4175,,,,,,,,,0.0040671462623212635,0.05554901960784314,0.055224171539961016,0.08186274509803922,0.678562874251497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187208,5.04,0.2867,0.42,,,,,,,,,0.0043992149796855924,0.056884920634920635,0.05621568627450981,0.08333333333333333,0.6826190476190477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187209,4.95,0.29,0.4225,,,,,,,,,0.005218317815850935,0.05858585858585858,0.057539682539682536,0.08535353535353535,0.6863905325443787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187210,4.97,0.2933,0.425,,,,,,,,,0.007018868194448627,0.05901408450704226,0.05925252525252525,0.08551307847082495,0.6901176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187211,4.95,0.2967,0.4275,,,,,,,,,0.0076092125808741,0.05993939393939394,0.05969818913480886,0.08636363636363636,0.6940350877192983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187212,5.07,0.3,0.43,,,,,,,,,0.008214315576960209,0.05917159763313609,0.0606060606060606,0.08481262327416172,0.6976744186046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187301,5.11,0.3025,0.4325,,,,,,,,,0.007631350495365054,0.059197651663405085,0.05966469428007889,0.08463796477495107,0.6994219653179191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187302,5.15,0.305,0.435,,,,,,,,,0.006487558246665701,0.059223300970873784,0.05968688845401174,0.08446601941747572,0.7011494252873564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187303,5.11,0.3075,0.4375,,,,,,,,,0.006561351294968885,0.06017612524461839,0.05970873786407767,0.08561643835616438,0.7028571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
